  10.5000 3.8968e+06 2.8914e+06 5.4919e+06 2.9378e+06 5.4581e+06 3.6081e+06 4.2115e+06 3.8088e+06 3.9847e+06 4.4535e+06 3.5084e+06 4.5391e+06 2.9378e+06 5.4581e+06 3.0410e+06
  10.7500 3.6313e+06 2.7001e+06 5.1050e+06 2.7420e+06 5.0744e+06 3.3672e+06 3.9187e+06 3.5502e+06 3.7123e+06 4.1571e+06 3.2649e+06 4.2192e+06 2.7420e+06 5.0744e+06 2.8472e+06
  11.0000 3.3858e+06 2.5229e+06 4.7480e+06 2.5609e+06 4.7203e+06 3.1441e+06 3.6486e+06 3.3111e+06 3.4606e+06 3.8823e+06 3.0404e+06 3.9242e+06 2.5609e+06 4.7203e+06 2.6670e+06
  11.2500 3.1588e+06 2.3587e+06 4.4183e+06 2.3931e+06 4.3932e+06 2.9374e+06 3.3991e+06 3.0898e+06 3.2278e+06 3.6273e+06 2.8331e+06 3.6521e+06 2.3931e+06 4.3932e+06 2.4994e+06
  11.5000 2.9487e+06 2.2065e+06 4.1137e+06 2.2377e+06 4.0909e+06 2.7457e+06 3.1687e+06 2.8849e+06 3.0125e+06 3.3908e+06 2.6417e+06 3.4008e+06 2.2377e+06 4.0909e+06 2.3433e+06
  11.7500 2.7541e+06 2.0653e+06 3.8320e+06 2.0936e+06 3.8114e+06 2.5679e+06 2.9556e+06 2.6951e+06 2.8131e+06 3.1711e+06 2.4648e+06 3.1686e+06 2.0936e+06 3.8114e+06 2.1981e+06
  12.0000 2.5741e+06 1.9343e+06 3.5723e+06 1.9600e+06 3.5535e+06 2.4031e+06 2.7588e+06 2.5195e+06 2.6287e+06 2.9675e+06 2.3014e+06 2.9545e+06 1.9600e+06 3.5535e+06 2.0629e+06
  12.2500 2.4075e+06 1.8128e+06 3.3326e+06 1.8362e+06 3.3155e+06 2.2503e+06 2.5771e+06 2.3569e+06 2.4581e+06 2.7786e+06 2.1505e+06 2.7571e+06 1.8362e+06 3.3155e+06 1.9370e+06
  12.5000 2.2532e+06 1.7000e+06 3.1112e+06 1.7213e+06 3.0957e+06 2.1085e+06 2.4090e+06 2.2062e+06 2.3001e+06 2.6032e+06 2.0110e+06 2.5747e+06 1.7213e+06 3.0957e+06 1.8199e+06
  12.7500 2.1101e+06 1.5951e+06 2.9066e+06 1.6146e+06 2.8924e+06 1.9767e+06 2.2535e+06 2.0665e+06 2.1536e+06 2.4403e+06 1.8818e+06 2.4062e+06 1.6146e+06 2.8924e+06 1.7106e+06
  13.0000 1.9772e+06 1.4976e+06 2.7171e+06 1.5154e+06 2.7041e+06 1.8543e+06 2.1093e+06 1.9368e+06 2.0177e+06 2.2888e+06 1.7621e+06 2.2502e+06 1.5154e+06 2.7041e+06 1.6088e+06
  13.2500 1.8539e+06 1.4068e+06 2.5416e+06 1.4230e+06 2.5296e+06 1.7403e+06 1.9756e+06 1.8162e+06 1.8915e+06 2.1478e+06 1.6510e+06 2.1056e+06 1.4230e+06 2.5296e+06 1.5138e+06
  13.5000 1.7391e+06 1.3222e+06 2.3787e+06 1.3371e+06 2.3678e+06 1.6342e+06 1.8515e+06 1.7041e+06 1.7741e+06 2.0164e+06 1.5480e+06 1.9715e+06 1.3371e+06 2.3678e+06 1.4250e+06
  13.7500 1.6324e+06 1.2433e+06 2.2275e+06 1.2570e+06 2.2175e+06 1.5354e+06 1.7361e+06 1.5998e+06 1.6649e+06 1.8940e+06 1.4521e+06 1.8471e+06 1.2570e+06 2.2175e+06 1.3421e+06
  14.0000 1.5329e+06 1.1697e+06 2.0869e+06 1.1823e+06 2.0777e+06 1.4432e+06 1.6288e+06 1.5026e+06 1.5632e+06 1.7798e+06 1.3630e+06 1.7314e+06 1.1823e+06 2.0777e+06 1.2646e+06
  14.2500 1.4402e+06 1.1010e+06 1.9562e+06 1.1126e+06 1.9477e+06 1.3571e+06 1.5288e+06 1.4119e+06 1.4685e+06 1.6731e+06 1.2800e+06 1.6238e+06 1.1126e+06 1.9477e+06 1.1920e+06
