  16.2500 2.2647e+05 1.7778e+05 2.9711e+05 1.7931e+05 2.9594e+05 2.1438e+05 2.3928e+05
  16.5000 2.1233e+05 1.6693e+05 2.7805e+05 1.6833e+05 2.7698e+05 2.0115e+05 2.2417e+05
  16.7500 1.9919e+05 1.5683e+05 2.6037e+05 1.5811e+05 2.5938e+05 1.8884e+05 2.1014e+05
  17.0000 1.8697e+05 1.4741e+05 2.4396e+05 1.4859e+05 2.4305e+05 1.7737e+05 1.9710e+05
  17.2500 1.7559e+05 1.3863e+05 2.2870e+05 1.3972e+05 2.2786e+05 1.6669e+05 1.8497e+05
  17.5000 1.6498e+05 1.3044e+05 2.1451e+05 1.3144e+05 2.1374e+05 1.5673e+05 1.7368e+05
  17.7500 1.5509e+05 1.2279e+05 2.0131e+05 1.2371e+05 2.0060e+05 1.4743e+05 1.6316e+05
  18.0000 1.4588e+05 1.1565e+05 1.8903e+05 1.1650e+05 1.8837e+05 1.3876e+05 1.5337e+05
  18.2500 1.3729e+05 1.0898e+05 1.7760e+05 1.0977e+05 1.7699e+05 1.3067e+05 1.4424e+05
  18.5000 1.2927e+05 1.0276e+05 1.6695e+05 1.0348e+05 1.6639e+05 1.2312e+05 1.3574e+05
  18.7500 1.2179e+05 9.6938e+04 1.5703e+05 9.7607e+04 1.5652e+05 1.1606e+05 1.2780e+05
  19.0000 1.1481e+05 9.1494e+04 1.4778e+05 9.2113e+04 1.4731e+05 1.0947e+05 1.2040e+05
  19.2500 1.0828e+05 8.6400e+04 1.3915e+05 8.6972e+04 1.3871e+05 1.0330e+05 1.1348e+05
  19.5000 1.0217e+05 8.1628e+04 1.3110e+05 8.2158e+04 1.3069e+05 9.7534e+04 1.0701e+05
  19.7500 9.6454e+04 7.7157e+04 1.2357e+05 7.7647e+04 1.2319e+05 9.2130e+04 1.0097e+05
  20.0000 9.1100e+04 7.2964e+04 1.1653e+05 7.3418e+04 1.1618e+05 8.7065e+04 9.5309e+04
  20.2500 8.6084e+04 6.9029e+04 1.0994e+05 6.9451e+04 1.0962e+05 8.2316e+04 9.0010e+04
  20.5000 8.1380e+04 6.5335e+04 1.0378e+05 6.5726e+04 1.0347e+05 7.7861e+04 8.5044e+04
  20.7500 7.6968e+04 6.1865e+04 9.8001e+04 6.2228e+04 9.7721e+04 7.3678e+04 8.0389e+04
  21.0000 7.2826e+04 5.8604e+04 9.2589e+04 5.8940e+04 9.2329e+04 6.9749e+04 7.6022e+04
  21.2500 6.8935e+04 5.5536e+04 8.7515e+04 5.5849e+04 8.7273e+04 6.6057e+04 7.1923e+04
  21.5000 6.5279e+04 5.2650e+04 8.2754e+04 5.2941e+04 8.2529e+04 6.2585e+04 6.8073e+04
  21.7500 6.1841e+04 4.9933e+04 7.8284e+04 5.0203e+04 7.8075e+04 5.9318e+04 6.4456e+04
  22.0000 5.8608e+04 4.7374e+04 7.4088e+04 4.7626e+04 7.3893e+04 5.6244e+04 6.1056e+04
  22.2500 5.5569e+04 4.4965e+04 7.0147e+04 4.5199e+04 6.9966e+04 5.3352e+04 5.7861e+04
  22.5000 5.2708e+04 4.2695e+04 6.6446e+04 4.2914e+04 6.6277e+04 5.0629e+04 5.4857e+04
  22.7500 5.0016e+04 4.0557e+04 6.2967e+04 4.0760e+04 6.2809e+04 4.8065e+04 5.2030e+04
  23.0000 4.7480e+04 3.8540e+04 5.9694e+04 3.8729e+04 5.9547e+04 4.5648e+04 4.9369e+04
  23.2500 4.5090e+04 3.6637e+04 5.6615e+04 3.6814e+04 5.6478e+04 4.3369e+04 4.6863e+04
  23.5000 4.2837e+04 3.4841e+04 5.3717e+04 3.5006e+04 5.3588e+04 4.1220e+04 4.4501e+04
  23.7500 4.0711e+04 3.3145e+04 5.0986e+04 3.3300e+04 5.0867e+04 3.9192e+04 4.2275e+04
  24.0000 3.8706e+04 3.1543e+04 4.8413e+04 3.1687e+04 4.8301e+04 3.7276e+04 4.0175e+04
  24.2500 3.6812e+04 3.0029e+04 4.5987e+04 3.0164e+04 4.5883e+04 3.5468e+04 3.8193e+04
  24.5000 3.5024e+04 2.8597e+04 4.3699e+04 2.8723e+04 4.3601e+04 3.3758e+04 3.6322e+04
  24.7500 3.3333e+04 2.7243e+04 4.1540e+04 2.7361e+04 4.1448e+04 3.2142e+04 3.4555e+04
  25.0000 3.1736e+04 2.5961e+04 3.9501e+04 2.6071e+04 3.9415e+04 3.0613e+04 3.2886e+04
  25.2500 3.0224e+04 2.4748e+04 3.7575e+04 2.4851e+04 3.7495e+04 2.9167e+04 3.1307e+04
  25.5000 2.8794e+04 2.3598e+04 3.5755e+04 2.3695e+04 3.5680e+04 2.7798e+04 2.9814e+04
  25.7500 2.7441e+04 2.2509e+04 3.4035e+04 2.2600e+04 3.3965e+04 2.6501e+04 2.8402e+04
  26.0000 2.6159e+04 2.1477e+04 3.2408e+04 2.1562e+04 3.2342e+04 2.5272e+04 2.7065e+04
  26.2500 2.4945e+04 2.0498e+04 3.0869e+04 2.0578e+04 3.0807e+04 2.4108e+04 2.5799e+04
  26.5000 2.3795e+04 1.9570e+04 2.9412e+04 1.9644e+04 2.9354e+04 2.3005e+04 2.4600e+04
  26.7500 2.2704e+04 1.8689e+04 2.8033e+04 1.8759e+04 2.7978e+04 2.1958e+04 2.3464e+04
  27.0000 2.1670e+04 1.7853e+04 2.6727e+04 1.7918e+04 2.6675e+04 2.0965e+04 2.2387e+04
