  -2.7500 3.9210e+05 3.0019e+05 5.3027e+05 3.0440e+05 5.2700e+05 3.6460e+05 4.2200e+05 4.9870e+05 3.2400e+05 4.1290e+05 3.0440e+05 5.2700e+05 3.6210e+05
  -2.7400 3.9630e+05 3.0344e+05 5.3588e+05 3.0770e+05 5.3260e+05 3.6850e+05 4.2640e+05 5.0380e+05 3.2750e+05 4.1730e+05 3.0770e+05 5.3260e+05 3.6580e+05
  -2.7300 4.0050e+05 3.0669e+05 5.4142e+05 3.1100e+05 5.3810e+05 3.7240e+05 4.3090e+05 5.0900e+05 3.3110e+05 4.2180e+05 3.1100e+05 5.3810e+05 3.6960e+05
  -2.7200 4.0470e+05 3.0997e+05 5.4705e+05 3.1430e+05 5.4370e+05 3.7640e+05 4.3540e+05 5.1420e+05 3.3460e+05 4.2630e+05 3.1430e+05 5.4370e+05 3.7340e+05
  -2.7100 4.0890e+05 3.1326e+05 5.5278e+05 3.1760e+05 5.4940e+05 3.8040e+05 4.3990e+05 5.1940e+05 3.3820e+05 4.3080e+05 3.1760e+05 5.4940e+05 3.7720e+05
  -2.7000 4.1320e+05 3.1648e+05 5.5841e+05 3.2090e+05 5.5500e+05 3.8430e+05 4.4450e+05 5.2460e+05 3.4180e+05 4.3540e+05 3.2090e+05 5.5500e+05 3.8100e+05
  -2.6900 4.1740e+05 3.1976e+05 5.6414e+05 3.2420e+05 5.6070e+05 3.8830e+05 4.4900e+05 5.2990e+05 3.4540e+05 4.3990e+05 3.2420e+05 5.6070e+05 3.8490e+05
  -2.6800 4.2170e+05 3.2302e+05 5.6987e+05 3.2750e+05 5.6640e+05 3.9230e+05 4.5360e+05 5.3520e+05 3.4900e+05 4.4450e+05 3.2750e+05 5.6640e+05 3.8870e+05
  -2.6700 4.2600e+05 3.2637e+05 5.7558e+05 3.3090e+05 5.7210e+05 3.9630e+05 4.5810e+05 5.4040e+05 3.5270e+05 4.4910e+05 3.3090e+05 5.7210e+05 3.9260e+05
  -2.6600 4.3030e+05 3.2975e+05 5.8132e+05 3.3430e+05 5.7780e+05 4.0040e+05 4.6270e+05 5.4580e+05 3.5630e+05 4.5370e+05 3.3430e+05 5.7780e+05 3.9650e+05
